Data,Produto,Quantidade Vendida,Preço Unitário,Total de Vendas,Lucro,Despesas,Promoções,Categoria
10/01/2023,Aluguel Van Corporativa,1,1040.03,1040.03,578.87,461.16,Não,Serviço Privado
10/01/2023,City Tour Completo (Van),1,1011.34,1011.34,709.17,302.17,Não,City Tour
10/01/2023,Translado Aeroporto Galeão,2,225.66,451.32,267.57,183.75,Não,Translados
11/01/2023,Translado Aeroporto Galeão,3,1437.92,4313.76,2992.59,1321.17,Não,Translados
11/01/2023,Passeio Pão de Açúcar (Carro),2,1082.37,2164.74,1479.16,685.58,Sim,Passeios Locais
11/01/2023,Passeio Cristo Redentor (Carro),2,510.02,1020.04,714.87,305.17,Sim,Passeios Locais
11/01/2023,Aluguel Van Corporativa,2,288.92,577.84,422.53,155.31,Sim,Serviço Privado
12/01/2023,Aluguel Carro Executivo,2,1304.11,2608.22,1543.65,1064.57,Não,Serviço Privado
12/01/2023,Aluguel Carro Executivo,3,878.34,2635.02,1551.32,1083.7,Sim,Serviço Privado
12/01/2023,Tour Petrópolis (Carro),1,524.27,524.27,300.84,223.43,Não,Viagens Longas
12/01/2023,Passeio Cristo Redentor (Carro),2,436.2,872.4,540.08,332.32,Não,Passeios Locais
12/01/2023,Tour Búzios (Van),1,739.19,739.19,491.03,248.16,Sim,Viagens Longas
12/01/2023,Tour Búzios (Van),1,529.3,529.3,343.28,186.02,Sim,Viagens Longas
12/01/2023,Tour Búzios (Van),3,1229.11,3687.33,2756.5,930.83,Não,Viagens Longas
12/01/2023,Passeio Cristo Redentor (Carro),3,950.72,2852.16,2064.12,788.04,Sim,Passeios Locais
13/01/2023,Aluguel Van Corporativa,2,300.74,601.48,368.64,232.84,Sim,Serviço Privado
13/01/2023,Aluguel Van Corporativa,3,315.01,945.03,613.52,331.51,Não,Serviço Privado
13/01/2023,Tour Búzios (Van),3,1168.39,3505.17,2530.41,974.76,Sim,Viagens Longas
13/01/2023,City Tour Completo (Van),1,1244.99,1244.99,717.75,527.24,Não,City Tour
13/01/2023,Aluguel Carro Executivo,1,1153.03,1153.03,846.15,306.88,Sim,Serviço Privado
13/01/2023,Tour Arraial do Cabo (Van),2,1423.44,2846.88,2032.65,814.23,Não,Viagens Longas
13/01/2023,Passeio Pão de Açúcar (Carro),1,937.37,937.37,555.89,381.48,Sim,Passeios Locais
14/01/2023,Tour Búzios (Van),2,1337.46,2674.92,1651.57,1023.35,Não,Viagens Longas
14/01/2023,Tour Búzios (Van),2,1247.03,2494.06,1688.0,806.06,Não,Viagens Longas
14/01/2023,Translado Aeroporto Galeão,3,1458.15,4374.45,3102.81,1271.64,Sim,Translados
14/01/2023,City Tour Completo (Van),3,824.34,2473.02,1476.03,996.99,Sim,City Tour
14/01/2023,Tour Búzios (Van),3,689.67,2069.01,1223.01,846.0,Não,Viagens Longas
14/01/2023,Tour Petrópolis (Carro),1,328.4,328.4,232.05,96.35,Não,Viagens Longas
15/01/2023,City Tour Completo (Van),2,1462.56,2925.12,1688.07,1237.05,Não,City Tour
15/01/2023,Tour Arraial do Cabo (Van),3,441.01,1323.03,802.71,520.32,Sim,Viagens Longas
15/01/2023,City Tour Completo (Van),3,1045.02,3135.06,2235.14,899.92,Sim,City Tour
15/01/2023,Tour Arraial do Cabo (Van),1,341.91,341.91,220.9,121.01,Não,Viagens Longas
15/01/2023,Tour Arraial do Cabo (Van),1,760.85,760.85,533.35,227.5,Sim,Viagens Longas
15/01/2023,Aluguel Carro Executivo,1,1472.15,1472.15,876.62,595.53,Não,Serviço Privado
15/01/2023,City Tour Completo (Van),2,187.4,374.8,269.32,105.48,Não,City Tour
16/01/2023,Passeio Pão de Açúcar (Carro),1,1029.85,1029.85,584.15,445.7,Não,Passeios Locais
16/01/2023,Passeio Cristo Redentor (Carro),3,186.68,560.04,379.62,180.42,Não,Passeios Locais
16/01/2023,Passeio Pão de Açúcar (Carro),1,375.14,375.14,272.67,102.47,Não,Passeios Locais
17/01/2023,City Tour Completo (Van),3,504.86,1514.58,930.19,584.39,Sim,City Tour
17/01/2023,Aluguel Van Corporativa,3,1361.97,4085.91,2654.65,1431.26,Não,Serviço Privado
17/01/2023,Tour Petrópolis (Carro),1,966.94,966.94,584.03,382.91,Sim,Viagens Longas
18/01/2023,Aluguel Van Corporativa,1,1492.4,1492.4,898.93,593.47,Sim,Serviço Privado
18/01/2023,Tour Búzios (Van),3,225.85,677.55,373.23,304.32,Sim,Viagens Longas
18/01/2023,Translado Aeroporto Santos Dumont,2,1251.62,2503.24,1539.03,964.21,Não,Translados
18/01/2023,Passeio Cristo Redentor (Carro),2,405.16,810.32,518.59,291.73,Não,Passeios Locais
18/01/2023,Aluguel Van Corporativa,1,534.23,534.23,363.66,170.57,Não,Serviço Privado
18/01/2023,City Tour Completo (Van),2,1432.8,2865.6,1991.54,874.06,Sim,City Tour
18/01/2023,Translado Aeroporto Santos Dumont,3,1110.82,3332.46,2403.91,928.55,Sim,Translados
18/01/2023,Translado Aeroporto Galeão,3,1188.1,3564.3,2484.94,1079.36,Sim,Translados
19/01/2023,City Tour Completo (Van),3,263.5,790.5,533.28,257.22,Não,City Tour
19/01/2023,Translado Aeroporto Santos Dumont,3,1326.39,3979.17,2711.64,1267.53,Não,Translados
19/01/2023,Translado Aeroporto Galeão,3,456.65,1369.95,1007.67,362.28,Não,Translados
19/01/2023,Passeio Pão de Açúcar (Carro),2,437.95,875.9,500.31,375.59,Sim,Passeios Locais
19/01/2023,Tour Arraial do Cabo (Van),1,411.44,411.44,228.93,182.51,Sim,Viagens Longas
20/01/2023,Tour Petrópolis (Carro),2,661.14,1322.28,745.91,576.37,Não,Viagens Longas
20/01/2023,Passeio Cristo Redentor (Carro),2,670.83,1341.66,836.07,505.59,Não,Passeios Locais
20/01/2023,Aluguel Carro Executivo,2,918.82,1837.64,1160.86,676.78,Não,Serviço Privado
20/01/2023,Aluguel Carro Executivo,3,1106.39,3319.17,2193.27,1125.9,Não,Serviço Privado
20/01/2023,Translado Aeroporto Santos Dumont,3,537.44,1612.32,1064.4,547.92,Não,Translados
21/01/2023,Tour Petrópolis (Carro),2,1344.88,2689.76,1927.88,761.88,Não,Viagens Longas
21/01/2023,Translado Aeroporto Galeão,2,368.65,737.3,436.9,300.4,Não,Translados
21/01/2023,Tour Arraial do Cabo (Van),2,1417.09,2834.18,1773.9,1060.28,Não,Viagens Longas
21/01/2023,Passeio Cristo Redentor (Carro),1,1358.4,1358.4,960.57,397.83,Sim,Passeios Locais
21/01/2023,Aluguel Carro Executivo,1,616.24,616.24,345.4,270.84,Não,Serviço Privado
21/01/2023,Translado Aeroporto Santos Dumont,3,571.7,1715.1,1133.24,581.86,Não,Translados
21/01/2023,Tour Arraial do Cabo (Van),1,818.2,818.2,451.08,367.12,Não,Viagens Longas
21/01/2023,Passeio Cristo Redentor (Carro),2,1255.12,2510.24,1593.48,916.76,Não,Passeios Locais
22/01/2023,Passeio Cristo Redentor (Carro),3,1407.26,4221.78,2495.82,1725.96,Não,Passeios Locais
22/01/2023,City Tour Completo (Van),1,154.39,154.39,86.74,67.65,Não,City Tour
22/01/2023,Tour Petrópolis (Carro),2,947.6,1895.2,1134.22,760.98,Sim,Viagens Longas
22/01/2023,Tour Arraial do Cabo (Van),3,566.89,1700.67,1000.3,700.37,Não,Viagens Longas
22/01/2023,Tour Arraial do Cabo (Van),1,454.47,454.47,261.5,192.97,Sim,Viagens Longas
22/01/2023,Aluguel Van Corporativa,2,173.84,347.68,217.62,130.06,Não,Serviço Privado
22/01/2023,City Tour Completo (Van),2,1100.62,2201.24,1416.91,784.33,Não,City Tour
22/01/2023,Translado Aeroporto Santos Dumont,2,518.18,1036.36,773.48,262.88,Não,Translados
23/01/2023,Tour Arraial do Cabo (Van),1,1462.45,1462.45,1017.45,445.0,Não,Viagens Longas
23/01/2023,City Tour Completo (Van),2,210.19,420.38,305.98,114.4,Não,City Tour
23/01/2023,Aluguel Carro Executivo,3,397.85,1193.55,799.86,393.69,Não,Serviço Privado
23/01/2023,Aluguel Carro Executivo,2,952.58,1905.16,1366.05,539.11,Sim,Serviço Privado
23/01/2023,Tour Búzios (Van),3,1456.31,4368.93,3245.18,1123.75,Não,Viagens Longas
23/01/2023,Tour Petrópolis (Carro),1,185.48,185.48,103.32,82.16,Sim,Viagens Longas
24/01/2023,Translado Aeroporto Galeão,1,1425.01,1425.01,930.36,494.65,Não,Translados
24/01/2023,Tour Arraial do Cabo (Van),3,642.4,1927.2,1240.69,686.51,Sim,Viagens Longas
24/01/2023,Translado Aeroporto Galeão,3,979.37,2938.11,1616.49,1321.62,Não,Translados
24/01/2023,Passeio Pão de Açúcar (Carro),3,529.75,1589.25,907.06,682.19,Sim,Passeios Locais
25/01/2023,Tour Búzios (Van),3,822.93,2468.79,1764.14,704.65,Não,Viagens Longas
25/01/2023,Tour Petrópolis (Carro),3,1100.4,3301.2,2310.85,990.35,Sim,Viagens Longas
25/01/2023,Aluguel Van Corporativa,2,1358.75,2717.5,1575.18,1142.32,Não,Serviço Privado
25/01/2023,Tour Búzios (Van),1,737.67,737.67,508.46,229.21,Não,Viagens Longas
25/01/2023,Aluguel Van Corporativa,2,312.96,625.92,421.11,204.81,Não,Serviço Privado
25/01/2023,Translado Aeroporto Santos Dumont,1,486.81,486.81,319.49,167.32,Não,Translados
25/01/2023,Translado Aeroporto Galeão,2,475.96,951.92,618.91,333.01,Sim,Translados
26/01/2023,Aluguel Carro Executivo,2,671.4,1342.8,833.91,508.89,Não,Serviço Privado
26/01/2023,Tour Petrópolis (Carro),3,985.79,2957.37,2091.57,865.8,Não,Viagens Longas
26/01/2023,Passeio Cristo Redentor (Carro),2,380.81,761.62,492.56,269.06,Não,Passeios Locais
26/01/2023,Aluguel Van Corporativa,1,388.05,388.05,221.12,166.93,Sim,Serviço Privado
27/01/2023,City Tour Completo (Van),2,984.36,1968.72,1412.62,556.1,Sim,City Tour
27/01/2023,Tour Petrópolis (Carro),1,282.73,282.73,158.3,124.43,Não,Viagens Longas
27/01/2023,Tour Arraial do Cabo (Van),1,957.63,957.63,606.78,350.85,Sim,Viagens Longas
28/01/2023,Passeio Cristo Redentor (Carro),1,873.45,873.45,618.71,254.74,Não,Passeios Locais
28/01/2023,Tour Petrópolis (Carro),2,464.9,929.8,595.59,334.21,Não,Viagens Longas
28/01/2023,Translado Aeroporto Galeão,1,1300.39,1300.39,762.34,538.05,Não,Translados
28/01/2023,Passeio Pão de Açúcar (Carro),3,233.26,699.78,453.75,246.03,Sim,Passeios Locais
28/01/2023,Tour Arraial do Cabo (Van),1,699.52,699.52,518.4,181.12,Não,Viagens Longas
28/01/2023,Translado Aeroporto Galeão,3,1414.92,4244.76,2731.32,1513.44,Sim,Translados
28/01/2023,Translado Aeroporto Galeão,3,799.26,2397.78,1438.88,958.9,Sim,Translados
28/01/2023,Tour Arraial do Cabo (Van),3,837.37,2512.11,1805.67,706.44,Sim,Viagens Longas
29/01/2023,Tour Arraial do Cabo (Van),2,1255.8,2511.6,1501.46,1010.14,Sim,Viagens Longas
29/01/2023,Aluguel Van Corporativa,2,1110.25,2220.5,1551.16,669.34,Não,Serviço Privado
29/01/2023,Passeio Pão de Açúcar (Carro),1,638.75,638.75,455.04,183.71,Não,Passeios Locais
29/01/2023,Translado Aeroporto Santos Dumont,1,309.94,309.94,212.67,97.27,Sim,Translados
29/01/2023,Translado Aeroporto Galeão,2,374.39,748.78,451.12,297.66,Não,Translados
29/01/2023,Translado Aeroporto Santos Dumont,3,238.92,716.76,411.1,305.66,Não,Translados
29/01/2023,Tour Petrópolis (Carro),1,425.1,425.1,258.44,166.66,Não,Viagens Longas
30/01/2023,Tour Petrópolis (Carro),1,731.62,731.62,416.98,314.64,Não,Viagens Longas
30/01/2023,Tour Arraial do Cabo (Van),3,405.67,1217.01,759.72,457.29,Sim,Viagens Longas
30/01/2023,Aluguel Van Corporativa,1,1100.7,1100.7,726.78,373.92,Não,Serviço Privado
30/01/2023,Passeio Pão de Açúcar (Carro),3,778.85,2336.55,1490.22,846.33,Não,Passeios Locais
30/01/2023,Tour Petrópolis (Carro),2,470.88,941.76,673.75,268.01,Não,Viagens Longas
31/01/2023,Translado Aeroporto Galeão,3,251.77,755.31,565.27,190.04,Sim,Translados
31/01/2023,Tour Arraial do Cabo (Van),1,790.88,790.88,543.99,246.89,Não,Viagens Longas
31/01/2023,Tour Arraial do Cabo (Van),2,512.69,1025.38,658.59,366.79,Sim,Viagens Longas
31/01/2023,Passeio Cristo Redentor (Carro),1,524.37,524.37,379.12,145.25,Sim,Passeios Locais
31/01/2023,Translado Aeroporto Galeão,3,566.31,1698.93,1166.03,532.9,Não,Translados
31/01/2023,Passeio Pão de Açúcar (Carro),3,1176.97,3530.91,1965.68,1565.23,Não,Passeios Locais
31/01/2023,Translado Aeroporto Santos Dumont,3,347.12,1041.36,733.09,308.27,Não,Translados
31/01/2023,City Tour Completo (Van),3,871.96,2615.88,1551.14,1064.74,Sim,City Tour
01/02/2023,Translado Aeroporto Galeão,2,983.47,1966.94,1180.84,786.1,Não,Translados
01/02/2023,Translado Aeroporto Santos Dumont,3,207.38,622.14,388.51,233.63,Sim,Translados
01/02/2023,Tour Arraial do Cabo (Van),2,1485.85,2971.7,1878.97,1092.73,Sim,Viagens Longas
01/02/2023,Translado Aeroporto Santos Dumont,2,892.99,1785.98,1162.55,623.43,Não,Translados
01/02/2023,Tour Búzios (Van),2,1171.46,2342.92,1588.68,754.24,Sim,Viagens Longas
02/02/2023,Translado Aeroporto Galeão,1,757.22,757.22,441.69,315.53,Sim,Translados
02/02/2023,Aluguel Carro Executivo,1,900.7,900.7,523.24,377.46,Sim,Serviço Privado
02/02/2023,Passeio Cristo Redentor (Carro),3,954.54,2863.62,1824.32,1039.3,Não,Passeios Locais
02/02/2023,Tour Petrópolis (Carro),3,1360.01,4080.03,2387.2,1692.83,Não,Viagens Longas
03/02/2023,Aluguel Van Corporativa,1,287.97,287.97,200.13,87.84,Sim,Serviço Privado
03/02/2023,Translado Aeroporto Galeão,2,164.72,329.44,239.66,89.78,Não,Translados
03/02/2023,City Tour Completo (Van),3,1236.24,3708.72,2732.28,976.44,Sim,City Tour
03/02/2023,Aluguel Van Corporativa,3,1273.42,3820.26,2523.91,1296.35,Não,Serviço Privado
04/02/2023,Translado Aeroporto Galeão,2,914.86,1829.72,1079.43,750.29,Sim,Translados
04/02/2023,Translado Aeroporto Santos Dumont,1,732.33,732.33,473.91,258.42,Não,Translados
04/02/2023,Tour Petrópolis (Carro),3,967.73,2903.19,1951.04,952.15,Não,Viagens Longas
05/02/2023,Tour Petrópolis (Carro),3,1294.89,3884.67,2862.17,1022.5,Não,Viagens Longas
05/02/2023,Translado Aeroporto Galeão,1,222.35,222.35,146.65,75.7,Não,Translados
05/02/2023,Aluguel Van Corporativa,3,1486.97,4460.91,3276.62,1184.29,Não,Serviço Privado
05/02/2023,Translado Aeroporto Santos Dumont,2,419.34,838.68,613.38,225.3,Não,Translados
05/02/2023,Aluguel Van Corporativa,3,174.71,524.13,305.63,218.5,Não,Serviço Privado
05/02/2023,Tour Búzios (Van),1,1023.15,1023.15,631.8,391.35,Não,Viagens Longas
06/02/2023,City Tour Completo (Van),3,969.11,2907.33,2091.64,815.69,Não,City Tour
06/02/2023,Translado Aeroporto Santos Dumont,2,1211.37,2422.74,1526.73,896.01,Sim,Translados
06/02/2023,Aluguel Carro Executivo,3,746.07,2238.21,1297.79,940.42,Sim,Serviço Privado
07/02/2023,Translado Aeroporto Galeão,1,296.41,296.41,199.6,96.81,Não,Translados
07/02/2023,Aluguel Van Corporativa,3,297.3,891.9,493.07,398.83,Não,Serviço Privado
07/02/2023,City Tour Completo (Van),3,1275.7,3827.1,2365.89,1461.21,Não,City Tour
07/02/2023,Tour Arraial do Cabo (Van),1,1067.01,1067.01,774.95,292.06,Não,Viagens Longas
07/02/2023,Aluguel Carro Executivo,1,172.65,172.65,116.15,56.5,Não,Serviço Privado
08/02/2023,Tour Búzios (Van),2,270.91,541.82,347.94,193.88,Sim,Viagens Longas
08/02/2023,Translado Aeroporto Galeão,3,279.57,838.71,467.92,370.79,Não,Translados
08/02/2023,Aluguel Van Corporativa,3,1207.84,3623.52,2707.75,915.77,Sim,Serviço Privado
08/02/2023,Tour Búzios (Van),2,1184.97,2369.94,1708.54,661.4,Não,Viagens Longas
08/02/2023,Passeio Cristo Redentor (Carro),2,802.08,1604.16,1022.9,581.26,Não,Passeios Locais
09/02/2023,Aluguel Carro Executivo,1,194.08,194.08,140.6,53.48,Não,Serviço Privado
09/02/2023,Translado Aeroporto Galeão,1,895.62,895.62,575.33,320.29,Não,Translados
09/02/2023,Aluguel Carro Executivo,3,1138.81,3416.43,2380.04,1036.39,Não,Serviço Privado
10/02/2023,Aluguel Carro Executivo,3,1157.78,3473.34,2095.74,1377.6,Não,Serviço Privado
10/02/2023,Passeio Cristo Redentor (Carro),1,402.03,402.03,281.89,120.14,Não,Passeios Locais
10/02/2023,Tour Petrópolis (Carro),3,1161.5,3484.5,1970.44,1514.06,Não,Viagens Longas
10/02/2023,Aluguel Carro Executivo,2,685.5,1371.0,1011.56,359.44,Não,Serviço Privado
10/02/2023,Translado Aeroporto Santos Dumont,3,1341.73,4025.19,2851.63,1173.56,Sim,Translados
10/02/2023,Tour Petrópolis (Carro),3,1204.15,3612.45,2681.27,931.18,Sim,Viagens Longas
11/02/2023,Passeio Cristo Redentor (Carro),1,1334.63,1334.63,795.95,538.68,Sim,Passeios Locais
11/02/2023,Passeio Cristo Redentor (Carro),2,1225.54,2451.08,1349.21,1101.87,Sim,Passeios Locais
11/02/2023,Passeio Cristo Redentor (Carro),3,645.71,1937.13,1355.24,581.89,Não,Passeios Locais
11/02/2023,Passeio Pão de Açúcar (Carro),2,986.41,1972.82,1411.41,561.41,Não,Passeios Locais
11/02/2023,City Tour Completo (Van),1,1481.3,1481.3,969.09,512.21,Não,City Tour
12/02/2023,Passeio Cristo Redentor (Carro),3,1290.4,3871.2,2754.49,1116.71,Sim,Passeios Locais
12/02/2023,Tour Petrópolis (Carro),3,1313.45,3940.35,2406.36,1533.99,Não,Viagens Longas
12/02/2023,Aluguel Carro Executivo,2,806.45,1612.9,895.61,717.29,Sim,Serviço Privado
12/02/2023,Tour Arraial do Cabo (Van),1,1369.8,1369.8,782.68,587.12,Sim,Viagens Longas
13/02/2023,Aluguel Van Corporativa,2,1204.13,2408.26,1532.0,876.26,Não,Serviço Privado
13/02/2023,Passeio Cristo Redentor (Carro),2,1251.03,2502.06,1866.83,635.23,Sim,Passeios Locais
13/02/2023,Passeio Cristo Redentor (Carro),3,405.26,1215.78,866.14,349.64,Sim,Passeios Locais
13/02/2023,Aluguel Carro Executivo,1,416.07,416.07,300.13,115.94,Não,Serviço Privado
13/02/2023,Tour Petrópolis (Carro),3,539.66,1618.98,1162.83,456.15,Sim,Viagens Longas
13/02/2023,Aluguel Van Corporativa,1,976.21,976.21,630.1,346.11,Não,Serviço Privado
14/02/2023,Tour Petrópolis (Carro),3,1006.05,3018.15,2106.53,911.62,Não,Viagens Longas
14/02/2023,Tour Petrópolis (Carro),3,1430.42,4291.26,2504.18,1787.08,Não,Viagens Longas
14/02/2023,Tour Petrópolis (Carro),2,1027.73,2055.46,1269.45,786.01,Não,Viagens Longas
14/02/2023,Tour Búzios (Van),2,302.39,604.78,370.7,234.08,Sim,Viagens Longas
14/02/2023,Tour Arraial do Cabo (Van),2,722.96,1445.92,880.48,565.44,Não,Viagens Longas
14/02/2023,Passeio Cristo Redentor (Carro),2,457.28,914.56,566.85,347.71,Não,Passeios Locais
14/02/2023,Passeio Cristo Redentor (Carro),3,1280.01,3840.03,2192.68,1647.35,Não,Passeios Locais
14/02/2023,City Tour Completo (Van),3,1321.89,3965.67,2531.3,1434.37,Não,City Tour
15/02/2023,Aluguel Carro Executivo,1,323.71,323.71,200.45,123.26,Sim,Serviço Privado
15/02/2023,Tour Arraial do Cabo (Van),2,931.47,1862.94,1243.08,619.86,Sim,Viagens Longas
15/02/2023,Aluguel Van Corporativa,1,325.23,325.23,237.64,87.59,Sim,Serviço Privado
15/02/2023,Translado Aeroporto Santos Dumont,3,511.36,1534.08,935.29,598.79,Sim,Translados
15/02/2023,Tour Arraial do Cabo (Van),3,617.23,1851.69,1226.05,625.64,Não,Viagens Longas
15/02/2023,Translado Aeroporto Galeão,2,1468.68,2937.36,1827.58,1109.78,Não,Translados
15/02/2023,City Tour Completo (Van),2,1365.87,2731.74,1724.62,1007.12,Não,City Tour
15/02/2023,Tour Arraial do Cabo (Van),1,1160.82,1160.82,835.02,325.8,Sim,Viagens Longas
16/02/2023,Translado Aeroporto Galeão,2,700.5,1401.0,1012.97,388.03,Não,Translados
16/02/2023,City Tour Completo (Van),3,350.32,1050.96,732.59,318.37,Sim,City Tour
16/02/2023,Aluguel Van Corporativa,2,982.73,1965.46,1310.55,654.91,Sim,Serviço Privado
16/02/2023,Aluguel Carro Executivo,1,1029.84,1029.84,748.81,281.03,Não,Serviço Privado
16/02/2023,Translado Aeroporto Santos Dumont,3,294.53,883.59,613.25,270.34,Sim,Translados
16/02/2023,Translado Aeroporto Santos Dumont,2,733.69,1467.38,905.28,562.1,Não,Translados
16/02/2023,Passeio Cristo Redentor (Carro),3,1105.09,3315.27,2436.96,878.31,Sim,Passeios Locais
17/02/2023,Passeio Pão de Açúcar (Carro),1,1184.44,1184.44,688.49,495.95,Sim,Passeios Locais
17/02/2023,Aluguel Carro Executivo,2,1399.87,2799.74,2074.88,724.86,Sim,Serviço Privado
17/02/2023,Tour Búzios (Van),3,739.11,2217.33,1250.76,966.57,Sim,Viagens Longas
17/02/2023,Translado Aeroporto Galeão,3,675.9,2027.7,1421.58,606.12,Sim,Translados
17/02/2023,Aluguel Carro Executivo,3,642.14,1926.42,1363.52,562.9,Sim,Serviço Privado
18/02/2023,Translado Aeroporto Galeão,3,625.22,1875.66,1063.23,812.43,Não,Translados
18/02/2023,Aluguel Carro Executivo,2,774.82,1549.64,1107.11,442.53,Sim,Serviço Privado
18/02/2023,Tour Búzios (Van),2,771.85,1543.7,985.51,558.19,Não,Viagens Longas
18/02/2023,Passeio Cristo Redentor (Carro),1,559.11,559.11,349.23,209.88,Não,Passeios Locais
19/02/2023,Passeio Pão de Açúcar (Carro),2,1463.85,2927.7,1827.4,1100.3,Não,Passeios Locais
19/02/2023,Passeio Cristo Redentor (Carro),3,1178.38,3535.14,2155.91,1379.23,Não,Passeios Locais
19/02/2023,Translado Aeroporto Galeão,2,591.37,1182.74,740.19,442.55,Sim,Translados
19/02/2023,Passeio Cristo Redentor (Carro),3,427.36,1282.08,751.88,530.2,Sim,Passeios Locais
19/02/2023,Tour Petrópolis (Carro),3,827.97,2483.91,1713.04,770.87,Não,Viagens Longas
19/02/2023,Translado Aeroporto Santos Dumont,1,212.86,212.86,132.58,80.28,Não,Translados
19/02/2023,Tour Arraial do Cabo (Van),2,810.02,1620.04,1214.28,405.76,Sim,Viagens Longas
19/02/2023,City Tour Completo (Van),3,687.7,2063.1,1155.2,907.9,Não,City Tour
20/02/2023,Passeio Cristo Redentor (Carro),1,452.8,452.8,293.78,159.02,Não,Passeios Locais
20/02/2023,Passeio Cristo Redentor (Carro),3,843.01,2529.03,1667.4,861.63,Sim,Passeios Locais
20/02/2023,Tour Arraial do Cabo (Van),2,1071.16,2142.32,1603.72,538.6,Sim,Viagens Longas
20/02/2023,Translado Aeroporto Galeão,2,868.84,1737.68,1283.99,453.69,Sim,Translados
